positions_X,positions_y
4.710000000000001,-5.030000000000002
4.710000000000001,-5.280000000000002
4.710000000000001,-5.530000000000002
4.660000000000001,-5.780000000000002
4.660000000000001,-6.030000000000002
4.610000000000001,-6.280000000000002
4.510000000000001,-6.530000000000002
4.360000000000001,-6.780000000000002
4.160000000000001,-7.030000000000002
3.910000000000001,-7.1300000000000034
3.66,-7.030000000000002
3.41,-6.930000000000004
3.16,-6.830000000000003
2.91,-6.730000000000001
2.66,-6.530000000000002
2.460000000000001,-6.280000000000002
2.210000000000001,-6.1300000000000034
1.9600000000000009,-5.980000000000001
1.7100000000000009,-5.8800000000000034
1.4600000000000009,-5.830000000000003
1.2100000000000009,-5.980000000000001
1.010000000000001,-6.1300000000000034
0.9600000000000009,-6.3800000000000034
0.91,-6.6300000000000034
0.8600000000000003,-6.8800000000000034
0.91,-7.1300000000000034
0.9600000000000009,-7.3800000000000034
1.010000000000001,-7.6300000000000034
1.010000000000001,-7.8800000000000034
1.1100000000000003,-8.130000000000003
1.160000000000001,-8.380000000000003
1.2100000000000009,-8.630000000000003
1.260000000000001,-8.880000000000003
1.2100000000000009,-9.130000000000004
1.160000000000001,-9.380000000000004
0.91,-9.380000000000004
0.6600000000000001,-9.330000000000002
0.4100000000000001,-9.28
0.1600000000000001,-9.180000000000003
-0.0899999999999998,-9.130000000000004
-0.3399999999999998,-9.03
-0.5399999999999991,-8.780000000000001
-0.7399999999999993,-8.530000000000001
-0.8399999999999999,-8.280000000000001
-0.9399999999999996,-8.030000000000001
-1.0399999999999991,-7.780000000000002
-1.1399999999999997,-7.530000000000002
-1.239999999999999,-7.280000000000002
-1.2899999999999991,-7.030000000000002
-1.3899999999999997,-6.780000000000002
-1.3899999999999997,-6.530000000000002
-1.4399999999999995,-6.280000000000002
-1.489999999999999,-6.030000000000002
-1.489999999999999,-5.780000000000002
-1.489999999999999,-5.530000000000002
-1.4399999999999995,-5.280000000000002
-1.4399999999999995,-5.030000000000002
-1.489999999999999,-4.780000000000002
-1.489999999999999,-4.530000000000002
-1.489999999999999,-4.280000000000002
-1.5399999999999991,-4.030000000000002
-1.5399999999999991,-3.780000000000002
-1.489999999999999,-3.530000000000002
-1.489999999999999,-3.280000000000002
-1.4399999999999995,-3.030000000000002
-1.4399999999999995,-2.780000000000002
-1.489999999999999,-2.530000000000001
-1.5399999999999991,-2.280000000000001
-1.59,-2.030000000000001
-1.6399999999999997,-1.7800000000000011
-1.6399999999999997,-1.5300000000000011
-1.6899999999999995,-1.2800000000000011
-1.739999999999999,-1.0300000000000011
-1.7899999999999991,-0.7800000000000011
-1.7899999999999991,-0.5300000000000011
-1.84,-0.2800000000000011
-1.89,-0.0300000000000011
-1.89,0.2199999999999988
-1.9399999999999995,0.4699999999999988
-1.9899999999999995,0.7199999999999989
-2.039999999999999,0.9699999999999988
-2.039999999999999,1.2199999999999989
-2.039999999999999,1.4699999999999989
-2.039999999999999,1.7199999999999989
-2.039999999999999,1.9699999999999989
-2.039999999999999,2.219999999999999
